module,theory_id,classification_basis,notes
DavisKahan.Sources.DavisKahan1970.SineTheta.SymmetricReal,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Sources.DavisKahan1970.SineTheta.Theorem61Universal,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Sources.DavisKahan1970.SineTheta.Theorem62,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Sources.DavisKahan1970.TanThetaUnboundedAmbient,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Sources.DavisKahan1970.TanThetaUnboundedAmbientReal,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Sources.DavisKahan1970.TanThetaWholeSpace,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Sources.DavisKahan1970.TanTwoThetaReflectionAmbient,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Sources.DavisKahan1970.TanTwoThetaUnboundedAmbientExact,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Sources.DavisKahan1970.TanTwoThetaUnboundedExact,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Sources.DavisKahan1970.TanTwoThetaUnboundedExactReal,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Sources.DavisKahan1970.TanTwoThetaUnboundedGramBridge,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Sources.DavisKahan1970.TanTwoThetaUnboundedGramMiddle,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Sources.DavisKahan1970.TanTwoThetaUnboundedKyFan,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.Sources.DavisKahan1970.WholeSpaceReal,dk_result_layer,human-reviewed exact module assignment,
DavisKahan.SpectralTheory.AbstractSpectrum,unbounded_selfadjoint_spectral,human-reviewed exact module assignment,
DavisKahan.SpectralTheory.BoundedSelfAdjointSpectralProjection,borel_spectral_calculus,human-reviewed exact module assignment,
DavisKahan.SpectralTheory.ClosedOperator.Basic,unbounded_selfadjoint_spectral,human-reviewed exact module assignment,
DavisKahan.SpectralTheory.ClosedOperator.Complexification,real_complex_transfer,human-reviewed exact module assignment,
